EVENT | SLICE | ROLE  | GRID16 | PAIR | START_MS | END_MS | DUR
---------------------------------------------------------------
00000 | 00000 | kick  | 000000 | 0000 |      0.0 |    47.4 | 0.047s
00001 | 00001 | hat   | 000000 | 0000 |     47.4 |    92.3 | 0.045s
00002 | 00002 | snare | 000001 | 0000 |     92.3 |   137.2 | 0.045s
00003 | 00003 | hat   | 000001 | 0000 |    137.2 |   172.2 | 0.035s
00004 | 00004 | hat   | 000001 | 0000 |    159.6 |   194.6 | 0.035s
00005 | 00005 | hat   | 000001 | 0000 |    184.6 |   229.5 | 0.045s
00006 | 00000 | kick  | 000000 | 0000 |      0.0 |    47.4 | 0.047s
00007 | 00007 | snare | 000002 | 0001 |    279.4 |   324.3 | 0.045s
00008 | 00008 | hat   | 000002 | 0001 |    321.8 |   371.7 | 0.050s
00009 | 00009 | kick  | 000002 | 0001 |    371.7 |   406.7 | 0.035s
00010 | 00055 | snare | 000013 | 0006 |   2489.5 |  2534.4 | 0.045s
00011 | 00011 | kick  | 000003 | 0001 |    508.9 |   553.8 | 0.045s
00012 | 00008 | hat   | 000002 | 0001 |    321.8 |   371.7 | 0.050s
00013 | 00013 | kick  | 000003 | 0001 |    601.2 |   646.1 | 0.045s
00014 | 00014 | snare | 000003 | 0001 |    646.1 |   693.5 | 0.047s
00015 | 00015 | hat   | 000004 | 0002 |    693.5 |   728.5 | 0.035s
00016 | 00016 | snare | 000004 | 0002 |    715.9 |   750.9 | 0.035s
00017 | 00017 | kick  | 000004 | 0002 |    738.4 |   785.8 | 0.047s
00018 | 00018 | hat   | 000004 | 0002 |    785.8 |   830.7 | 0.045s
00019 | 00019 | snare | 000004 | 0002 |    830.7 |   875.6 | 0.045s
00020 | 00020 | hat   | 000005 | 0002 |    875.6 |   923.0 | 0.047s
00021 | 00021 | hat   | 000005 | 0002 |    922.9 |   967.9 | 0.045s
00022 | 00022 | kick  | 000005 | 0002 |    967.8 |  1015.3 | 0.047s
00023 | 00023 | snare | 000005 | 0002 |   1015.3 |  1060.2 | 0.045s
00024 | 00024 | hat   | 000006 | 0003 |   1060.2 |  1107.6 | 0.047s
00025 | 00025 | kick  | 000006 | 0003 |   1107.6 |  1152.5 | 0.045s
00026 | 00026 | hat   | 000006 | 0003 |   1152.4 |  1197.4 | 0.045s
00027 | 00059 | snare | 000014 | 0007 |   2671.6 |  2721.5 | 0.050s
00028 | 00028 | kick  | 000006 | 0003 |   1244.7 |  1289.7 | 0.045s
00029 | 00024 | hat   | 000006 | 0003 |   1060.2 |  1107.6 | 0.047s
00030 | 00030 | hat   | 000007 | 0003 |   1337.1 |  1382.0 | 0.045s
00031 | 00031 | snare | 000007 | 0003 |   1382.0 |  1431.9 | 0.050s
00032 | 00032 | hat   | 000007 | 0003 |   1429.3 |  1474.3 | 0.045s
00033 | 00033 | kick  | 000008 | 0004 |   1474.2 |  1519.2 | 0.045s
00034 | 00034 | hat   | 000008 | 0004 |   1519.1 |  1569.0 | 0.050s
00035 | 00035 | snare | 000008 | 0004 |   1569.0 |  1613.9 | 0.045s
00036 | 00036 | hat   | 000008 | 0004 |   1611.4 |  1661.4 | 0.050s
00037 | 00037 | hat   | 000009 | 0004 |   1661.3 |  1706.3 | 0.045s
00038 | 00038 | kick  | 000009 | 0004 |   1706.2 |  1753.7 | 0.047s
00039 | 00039 | snare | 000009 | 0004 |   1753.6 |  1798.5 | 0.045s
00040 | 00040 | hat   | 000009 | 0004 |   1798.5 |  1843.4 | 0.045s
00041 | 00041 | kick  | 000009 | 0004 |   1843.4 |  1878.4 | 0.035s
00042 | 00042 | snare | 000010 | 0005 |   1935.7 |  1983.2 | 0.047s
00043 | 00043 | kick  | 000010 | 0005 |   1983.1 |  2028.0 | 0.045s
00044 | 00044 | hat   | 000010 | 0005 |   2028.0 |  2075.4 | 0.047s
00045 | 00045 | kick  | 000011 | 0005 |   2075.4 |  2120.3 | 0.045s
00046 | 00046 | snare | 000011 | 0005 |   2120.3 |  2167.7 | 0.047s
00047 | 00047 | hat   | 000011 | 0005 |   2167.7 |  2202.7 | 0.035s
00048 | 00010 | snare | 000002 | 0001 |    459.0 |   508.9 | 0.050s
00049 | 00049 | kick  | 000011 | 0005 |   2212.6 |  2257.5 | 0.045s
00050 | 00056 | hat   | 000013 | 0006 |   2534.4 |  2579.3 | 0.045s
00051 | 00051 | snare | 000012 | 0006 |   2304.9 |  2349.8 | 0.045s
00052 | 00052 | hat   | 000012 | 0006 |   2349.8 |  2397.2 | 0.047s
00053 | 00053 | hat   | 000012 | 0006 |   2397.2 |  2442.1 | 0.045s
00054 | 00054 | kick  | 000013 | 0006 |   2442.1 |  2489.5 | 0.047s
00055 | 00055 | snare | 000013 | 0006 |   2489.5 |  2534.4 | 0.045s
00056 | 00056 | hat   | 000013 | 0006 |   2534.4 |  2579.3 | 0.045s
00057 | 00057 | kick  | 000013 | 0006 |   2579.3 |  2626.7 | 0.047s
00058 | 00058 | hat   | 000013 | 0006 |   2626.7 |  2671.6 | 0.045s
00059 | 00059 | snare | 000014 | 0007 |   2671.6 |  2721.5 | 0.050s
00060 | 00060 | kick  | 000014 | 0007 |   2719.0 |  2763.9 | 0.045s
00061 | 00015 | hat   | 000004 | 0002 |    693.5 |   728.5 | 0.035s
00062 | 00062 | hat   | 000014 | 0007 |   2813.8 |  2858.7 | 0.045s
00063 | 00063 | snare | 000015 | 0007 |   2856.2 |  2901.1 | 0.045s
00064 | 00064 | hat   | 000015 | 0007 |   2901.1 |  2941.0 | 0.040s

IMAGE LOCKED GRID16:
PAIR : 11|22|33|44|55|66|77|88
STEP : 12|34|56|78|90|12|34|56
HAT  : HH|H.|HH|HH|HH|HH|HH|HH
KICK : K.|KK|KK|K.|KK|KK|.K|K.
SNARE: .S|SS|SS|.S|SS|SS|SS|SS

ROLE SEQUENCE:
K H S H H H K S H K S K H K S H S K H S H H K S H K H S K H H S H K H S H H K S H K S K H K S H S K H S H H K S H K H S K H H S H

SLICE INDEX SEQUENCE:
0 1 2 3 4 5 0 7 8 9 55 11 8 13 14 15 16 17 18 19 20 21 22 23 24 25 26 59 28 24 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 10 49 56 51 52 53 54 55 56 57 58 59 60 15 62 63 64
